ItemId,Featured Articles
109469,"166610,163484,163692,155237"
109475,"166610,163484,163692,155237"
109537,"166610,163484,163692,155237"
109559,"166610,163484,163692,155237"
109562,"166610,163484,163692,155237"
109563,"166610,163484,163692,155237"
109567,"166610,163484,163692,155237"
109568,"166610,163484,163692,155237"
109583,"166610,163484,163692,155237"
109587,"166610,163484,163692,155237"
109590,"166610,163484,163692,155237"
110699,"166610,163484,163692,155237"
110718,"166610,163484,163692,155237"
111009,"166610,163484,163692,155237"
111013,"166610,163484,163692,155237"
111332,"166610,163484,163692,155237"
111592,"166610,163484,163692,155237"
200697,"166610,163484,163692,155237"
200719,"166610,163484,163692,155237"
208716,"166610,163484,163692,155237"
208719,"166610,163484,163692,155237"
208726,"166610,163484,163692,155237"
208754,"166610,163484,163692,155237"
208767,"166610,163484,163692,155237"
209596,"166610,163484,163692,155237"
209730,"166610,163484,163692,155237"
209966,"166610,163484,163692,155237"
209985,"166610,163484,163692,155237"
209993,"166610,163484,163692,155237"
210034,"166610,163484,163692,155237"
210035,"166610,163484,163692,155237"
210038,"166610,163484,163692,155237"
210042,"166610,163484,163692,155237"
210043,"166610,163484,163692,155237"
210045,"166610,163484,163692,155237"
210048,"166610,163484,163692,155237"
210049,"166610,163484,163692,155237"
210058,"166610,163484,163692,155237"
210060,"166610,163484,163692,155237"
210067,"166610,163484,163692,155237"
210240,"166610,163484,163692,155237"
210268,"166610,163484,163692,155237"
210294,"166610,163484,163692,155237"
210295,"166610,163484,163692,155237"
210303,"166610,163484,163692,155237"
210314,"166610,163484,163692,155237"
210331,"166610,163484,163692,155237"
210336,"166610,163484,163692,155237"
210343,"166610,163484,163692,155237"
210351,"166610,163484,163692,155237"
210363,"166610,163484,163692,155237"
210369,"166610,163484,163692,155237"
210373,"166610,163484,163692,155237"
210375,"166610,163484,163692,155237"
210378,"166610,163484,163692,155237"
210381,"166610,163484,163692,155237"
210382,"166610,163484,163692,155237"
210384,"166610,163484,163692,155237"
210385,"166610,163484,163692,155237"
211542,"166610,163484,163692,155237"
211544,"166610,163484,163692,155237"
211546,"166610,163484,163692,155237"
211548,"166610,163484,163692,155237"
211549,"166610,163484,163692,155237"
205469,"166610,163484,163692,155237"
205810,"166610,163484,163692,155237"
205820,"166610,163484,163692,155237"
205962,"166610,163484,163692,155237"
206029,"166610,163484,163692,155237"
219683,"166610,163484,163692,155237"
219770,"166610,163484,163692,155237"
219787,"166610,163484,163692,155237"
219804,"166610,163484,163692,155237"
219822,"166610,163484,163692,155237"
219823,"166610,163484,163692,155237"
219828,"166610,163484,163692,155237"
219833,"166610,163484,163692,155237"
219837,"166610,163484,163692,155237"
219838,"166610,163484,163692,155237"
219839,"166610,163484,163692,155237"
219840,"166610,163484,163692,155237"
219845,"166610,163484,163692,155237"
219856,"166610,163484,163692,155237"
219879,"166610,163484,163692,155237"
219921,"166610,163484,163692,155237"
219959,"166610,163484,163692,155237"
219993,"166610,163484,163692,155237"
220109,"166610,163484,163692,155237"
220119,"166610,163484,163692,155237"
223606,"166610,163484,163692,155237"
223624,"166610,163484,163692,155237"
223636,"166610,163484,163692,155237"
223651,"166610,163484,163692,155237"
223654,"166610,163484,163692,155237"
223657,"166610,163484,163692,155237"
223660,"166610,163484,163692,155237"
223663,"166610,163484,163692,155237"
224925,"166610,163484,163692,155237"
224927,"166610,163484,163692,155237"
224930,"166610,163484,163692,155237"
224933,"166610,163484,163692,155237"
224937,"166610,163484,163692,155237"
224942,"166610,163484,163692,155237"
224945,"166610,163484,163692,155237"
224949,"166610,163484,163692,155237"
224956,"166610,163484,163692,155237"
224959,"166610,163484,163692,155237"
224962,"166610,163484,163692,155237"
224963,"166610,163484,163692,155237"
224998,"166610,163484,163692,155237"
225001,"166610,163484,163692,155237"
225005,"166610,163484,163692,155237"
225009,"166610,163484,163692,155237"
225021,"166610,163484,163692,155237"
225025,"166610,163484,163692,155237"
225029,"166610,163484,163692,155237"
225054,"166610,163484,163692,155237"
225056,"166610,163484,163692,155237"
225059,"166610,163484,163692,155237"
225062,"166610,163484,163692,155237"
225090,"166610,163484,163692,155237"
225092,"166610,163484,163692,155237"
225110,"166610,163484,163692,155237"
211550,"166610,163484,163692,155237"
226426,"166610,163484,163692,155237"
226427,"166610,163484,163692,155237"
226482,"166610,163484,163692,155237"
226486,"166610,163484,163692,155237"
226527,"166610,163484,163692,155237"
226530,"166610,163484,163692,155237"
226549,"166610,163484,163692,155237"
226553,"166610,163484,163692,155237"
226565,"166610,163484,163692,155237"
226569,"166610,163484,163692,155237"
226769,"166610,163484,163692,155237"
226777,"166610,163484,163692,155237"
226780,"166610,163484,163692,155237"
226806,"166610,163484,163692,155237"
226808,"166610,163484,163692,155237"
226811,"166610,163484,163692,155237"
226814,"166610,163484,163692,155237"
226826,"166610,163484,163692,155237"
226830,"166610,163484,163692,155237"
226834,"166610,163484,163692,155237"
226852,"166610,163484,163692,155237"
226854,"166610,163484,163692,155237"
226857,"166610,163484,163692,155237"
226860,"166610,163484,163692,155237"
226864,"166610,163484,163692,155237"
226891,"166610,163484,163692,155237"
226893,"166610,163484,163692,155237"
226894,"166610,163484,163692,155237"
226914,"166610,163484,163692,155237"
211551,"166610,163484,163692,155237"
211633,"166610,163484,163692,155237"
211637,"166610,163484,163692,155237"
211659,"166610,163484,163692,155237"
211687,"166610,163484,163692,155237"
211695,"166610,163484,163692,155237"
211698,"166610,163484,163692,155237"
211703,"166610,163484,163692,155237"
211705,"166610,163484,163692,155237"
211707,"166610,163484,163692,155237"
211709,"166610,163484,163692,155237"
211721,"166610,163484,163692,155237"
211723,"166610,163484,163692,155237"
211773,"166610,163484,163692,155237"
211777,"166610,163484,163692,155237"
211781,"166610,163484,163692,155237"
211787,"166610,163484,163692,155237"
211793,"166610,163484,163692,155237"
211804,"166610,163484,163692,155237"
211816,"166610,163484,163692,155237"
211820,"166610,163484,163692,155237"
211860,"166610,163484,163692,155237"
212078,"166610,163484,163692,155237"
212091,"166610,163484,163692,155237"
212107,"166610,163484,163692,155237"
212113,"166610,163484,163692,155237"
212117,"166610,163484,163692,155237"
212126,"166610,163484,163692,155237"
212134,"166610,163484,163692,155237"
212140,"166610,163484,163692,155237"
212146,"166610,163484,163692,155237"
212153,"166610,163484,163692,155237"
212156,"166610,163484,163692,155237"
212166,"166610,163484,163692,155237"
212171,"166610,163484,163692,155237"
233760,"166610,163484,163692,155237"
233842,"166610,163484,163692,155237"
233886,"166610,163484,163692,155237"
233951,"166610,163484,163692,155237"
234053,"166610,163484,163692,155237"
234074,"166610,163484,163692,155237"
234091,"166610,163484,163692,155237"
234092,"166610,163484,163692,155237"
234100,"166610,163484,163692,155237"
234142,"166610,163484,163692,155237"
234149,"166610,163484,163692,155237"
234156,"166610,163484,163692,155237"
234206,"166610,163484,163692,155237"
234291,"166610,163484,163692,155237"
234307,"166610,163484,163692,155237"
237130,"166610,163484,163692,155237"
237131,"166610,163484,163692,155237"
237133,"166610,163484,163692,155237"
237302,"166610,163484,163692,155237"
238753,"166610,163484,163692,155237"
238762,"166610,163484,163692,155237"
238795,"166610,163484,163692,155237"
238801,"166610,163484,163692,155237"
238814,"166610,163484,163692,155237"
238823,"166610,163484,163692,155237"
238839,"166610,163484,163692,155237"
238843,"166610,163484,163692,155237"
238855,"166610,163484,163692,155237"
238860,"166610,163484,163692,155237"
238912,"166610,163484,163692,155237"
238914,"166610,163484,163692,155237"
238930,"166610,163484,163692,155237"
238935,"166610,163484,163692,155237"
238943,"166610,163484,163692,155237"
238950,"166610,163484,163692,155237"
239022,"166610,163484,163692,155237"
239030,"166610,163484,163692,155237"
239039,"166610,163484,163692,155237"
239041,"166610,163484,163692,155237"
239060,"166610,163484,163692,155237"
239260,"166610,163484,163692,155237"
239317,"166610,163484,163692,155237"
239319,"166610,163484,163692,155237"
239325,"166610,163484,163692,155237"
239334,"166610,163484,163692,155237"
226357,"166610,163484,163692,155237"
226360,"166610,163484,163692,155237"
226379,"166610,163484,163692,155237"
226381,"166610,163484,163692,155237"
226383,"166610,163484,163692,155237"
226384,"166610,163484,163692,155237"
226389,"166610,163484,163692,155237"
226399,"166610,163484,163692,155237"
226404,"166610,163484,163692,155237"
226417,"166610,163484,163692,155237"
226423,"166610,163484,163692,155237"
226425,"166610,163484,163692,155237"
220145,"166610,163484,163692,155237"
220148,"166610,163484,163692,155237"
220149,"166610,163484,163692,155237"
220232,"166610,163484,163692,155237"
220238,"166610,163484,163692,155237"
220241,"166610,163484,163692,155237"
220244,"166610,163484,163692,155237"
220279,"166610,163484,163692,155237"
220297,"166610,163484,163692,155237"
220357,"166610,163484,163692,155237"
220461,"166610,163484,163692,155237"
221839,"166610,163484,163692,155237"
221840,"166610,163484,163692,155237"
221867,"166610,163484,163692,155237"
221868,"166610,163484,163692,155237"
221869,"166610,163484,163692,155237"
221995,"166610,163484,163692,155237"
221996,"166610,163484,163692,155237"
222028,"166610,163484,163692,155237"
222083,"166610,163484,163692,155237"
222241,"166610,163484,163692,155237"
222245,"166610,163484,163692,155237"
222257,"166610,163484,163692,155237"
222259,"166610,163484,163692,155237"
87328,"166610,163484,163692,155237"
87405,"166610,163484,163692,155237"
87509,"166610,163484,163692,155237"
87512,"166610,163484,163692,155237"
87514,"166610,163484,163692,155237"
87515,"166610,163484,163692,155237"
87518,"166610,163484,163692,155237"
87519,"166610,163484,163692,155237"
87520,"166610,163484,163692,155237"
87521,"166610,163484,163692,155237"
87608,"166610,163484,163692,155237"
87611,"166610,163484,163692,155237"
87620,"166610,163484,163692,155237"
87623,"166610,163484,163692,155237"
87625,"166610,163484,163692,155237"
87629,"166610,163484,163692,155237"
87670,"166610,163484,163692,155237"
87682,"166610,163484,163692,155237"
87712,"166610,163484,163692,155237"
87718,"166610,163484,163692,155237"
87719,"166610,163484,163692,155237"
87720,"166610,163484,163692,155237"
87721,"166610,163484,163692,155237"
87722,"166610,163484,163692,155237"
87724,"166610,163484,163692,155237"
87725,"166610,163484,163692,155237"
88650,"166610,163484,163692,155237"
88664,"166610,163484,163692,155237"
88711,"166610,163484,163692,155237"
88732,"166610,163484,163692,155237"
88751,"166610,163484,163692,155237"
88753,"166610,163484,163692,155237"
88757,"166610,163484,163692,155237"
88758,"166610,163484,163692,155237"
88766,"166610,163484,163692,155237"
89289,"166610,163484,163692,155237"
89299,"166610,163484,163692,155237"
89324,"166610,163484,163692,155237"
89329,"166610,163484,163692,155237"
89334,"166610,163484,163692,155237"
89733,"166610,163484,163692,155237"
87726,"166610,163484,163692,155237"
87728,"166610,163484,163692,155237"
87730,"166610,163484,163692,155237"
87733,"166610,163484,163692,155237"
87735,"166610,163484,163692,155237"
87739,"166610,163484,163692,155237"
87744,"166610,163484,163692,155237"
87920,"166610,163484,163692,155237"
87921,"166610,163484,163692,155237"
87923,"166610,163484,163692,155237"
87924,"166610,163484,163692,155237"
91079,"166610,163484,163692,155237"
91087,"166610,163484,163692,155237"
91091,"166610,163484,163692,155237"
91104,"166610,163484,163692,155237"
91193,"166610,163484,163692,155237"
92766,"166610,163484,163692,155237"
92986,"166610,163484,163692,155237"
92987,"166610,163484,163692,155237"
93146,"166610,163484,163692,155237"
93246,"166610,163484,163692,155237"
93248,"166610,163484,163692,155237"
93250,"166610,163484,163692,155237"
94036,"166610,163484,163692,155237"
94047,"166610,163484,163692,155237"
94066,"166610,163484,163692,155237"
94088,"166610,163484,163692,155237"
94106,"166610,163484,163692,155237"
94110,"166610,163484,163692,155237"
94152,"166610,163484,163692,155237"
94174,"166610,163484,163692,155237"
94196,"166610,163484,163692,155237"
94197,"166610,163484,163692,155237"
94198,"166610,163484,163692,155237"
94201,"166610,163484,163692,155237"
94202,"166610,163484,163692,155237"
94204,"166610,163484,163692,155237"
94216,"166610,163484,163692,155237"
94376,"166610,163484,163692,155237"
94383,"166610,163484,163692,155237"
94536,"166610,163484,163692,155237"
94825,"166610,163484,163692,155237"
94827,"166610,163484,163692,155237"
94837,"166610,163484,163692,155237"
94843,"166610,163484,163692,155237"
94844,"166610,163484,163692,155237"
94850,"166610,163484,163692,155237"
93251,"166610,163484,163692,155237"
93272,"166610,163484,163692,155237"
93383,"166610,163484,163692,155237"
93387,"166610,163484,163692,155237"
93436,"166610,163484,163692,155237"
93458,"166610,163484,163692,155237"
93465,"166610,163484,163692,155237"
93480,"166610,163484,163692,155237"
93502,"166610,163484,163692,155237"
93508,"166610,163484,163692,155237"
93512,"166610,163484,163692,155237"
93524,"166610,163484,163692,155237"
93930,"166610,163484,163692,155237"
93960,"166610,163484,163692,155237"
94000,"166610,163484,163692,155237"
94009,"166610,163484,163692,155237"
94022,"166610,163484,163692,155237"
95506,"166610,163484,163692,155237"
95537,"166610,163484,163692,155237"
95770,"166610,163484,163692,155237"
95780,"166610,163484,163692,155237"
95789,"166610,163484,163692,155237"
95794,"166610,163484,163692,155237"
95799,"166610,163484,163692,155237"
96254,"166610,163484,163692,155237"
96264,"166610,163484,163692,155237"
96308,"166610,163484,163692,155237"
96368,"166610,163484,163692,155237"
96375,"166610,163484,163692,155237"
96376,"166610,163484,163692,155237"
96377,"166610,163484,163692,155237"
96378,"166610,163484,163692,155237"
96382,"166610,163484,163692,155237"
96404,"166610,163484,163692,155237"
96405,"166610,163484,163692,155237"
96989,"166610,163484,163692,155237"
96994,"166610,163484,163692,155237"
97420,"166610,163484,163692,155237"
97646,"166610,163484,163692,155237"
97747,"166610,163484,163692,155237"
97748,"166610,163484,163692,155237"
97860,"166610,163484,163692,155237"
97861,"166610,163484,163692,155237"
97866,"166610,163484,163692,155237"
97959,"166610,163484,163692,155237"
98013,"166610,163484,163692,155237"
98119,"166610,163484,163692,155237"
98129,"166610,163484,163692,155237"
98139,"166610,163484,163692,155237"
98149,"166610,163484,163692,155237"
98204,"166610,163484,163692,155237"
98214,"166610,163484,163692,155237"
98224,"166610,163484,163692,155237"
98225,"166610,163484,163692,155237"
98234,"166610,163484,163692,155237"
98237,"166610,163484,163692,155237"
98241,"166610,163484,163692,155237"
98244,"166610,163484,163692,155237"
98254,"166610,163484,163692,155237"
98272,"166610,163484,163692,155237"
98282,"166610,163484,163692,155237"
98292,"166610,163484,163692,155237"
98369,"166610,163484,163692,155237"
98430,"166610,163484,163692,155237"
98625,"166610,163484,163692,155237"
98629,"166610,163484,163692,155237"
98632,"166610,163484,163692,155237"
98873,"166610,163484,163692,155237"
